SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,SECURITY CODE,ISSUER NAME,SECURITY ID,SECURITY NAME,STATUS,GROUP,ISIN NO,INDUSTRY,INSTRUMENT,SECTOR NAME,INDUSTRY NEW NAME,IGROUP NAME,ISUBGROUP NAME
INFRAQUEST,Infraquest International Limited,,,,,,10.00,531793,Infraquest International Limited,INFRAQUEST,Infraquest International Ltd,Delisted,XT,INE786B01022,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
SESHACHAL,Seshachal Technologies Ltd,,,,,,10.00,531794,Seshachal Technologies Ltd,SESHACHAL,Seshachal Technologies Ltd,Suspended,X ,INE331F01010,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
SRINFEA,Srinivasa Ferro Alloys Ltd.,,,,,,10.00,531796,Srinivasa Ferro Alloys Ltd.,SRINFEA,Srinivassa Ferro Alloys Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
SCANPRO,Scan Projects Ltd,,,,,,10.00,531797,Scan Projects Ltd,SCANPRO,Scan Projects Ltd,Active,XT,INE393D01015,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SHARPRIN,Sharpscan & Prints Ltd.,,,,,,10.00,531799,Sharpscan & Prints Ltd.,SHARPRIN,Sharpscan & Prints Ltd,Delisted,XD,INE795C01013, ,Equity,-,-,-,-
SHEETALB,Sheetal Bio-Agro Tech Limited,,,,,,1.00,531800,Sheetal Bio-Agro Tech Limited,SHEETALB,Sheetal Bio Agro Tech Ltd,Delisted,XT,INE612C01028,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANNA,Manna Glass-Tech Industries Ltd.,,,,,,10.00,531801,Manna Glass-Tech Industries Ltd.,MANNA,Manna Glass Tech Industries Ltd,Delisted,XD,INE552C01018, ,Equity,-,-,-,-
PRERINFRA,Prerna Infrabuild Limited,,,,,,10.00,531802,Prerna Infrabuild Limited,PRERINFRA,Prerna Infrabuild Ltd,Active,X ,INE426H01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
VIRDEVE,Vir Developers Ltd.,,,,,,10.00,531803,Vir Developers Ltd.,VIRDEVE,Vir Developers Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
PUNLSFN,Punjab Lease Financing Ltd.,,,,,,10.00,531806,Punjab Lease Financing Ltd.,PUNLSFN,Punjab Lease Financing Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
INGVYSYABK,ING Vysya Bank Ltd.,,,,,,10.00,531807,ING Vysya Bank Ltd.,INGVYSYABK,ING Vysya Bank Ltd,Delisted,B ,INE166A01011, ,Equity,-,-,-,-
METALCO,Metal Coatings (India) Ltd.,,,,,,10.00,531810,Metal Coatings (India) Ltd.,METALCO,Metal Coatings India Ltd,Active,X ,INE161E01014,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SGNTE,SGN Telecoms Ltd.,,,,,,1.00,531812,SGN Telecoms Ltd.,SGNTE,SGN Telecoms Ltd,Active,X ,INE266C01023,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
GANGAPA,Ganga Papers India Ltd,,,,,,10.00,531813,Ganga Papers India Ltd,GANGAPA,Ganga Papers India Ltd,Active,X ,INE278O01015,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
TIRSARJ,Tirupati Sarjan Ltd.,,,,,,5.00,531814,Tirupati Sarjan Ltd.,TIRSARJ,Tirupati Sarjan Ltd,Active,X ,INE297J01023,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PANORAMUNI,Panoramic Universal Limited,,,,,,5.00,531816,Panoramic Universal Limited,PANORAMUNI,Panoramic Universal Ltd,Delisted,Z ,INE194B01029, ,Equity,-,-,-,-
HYDEQUI,Hydroflex Equipments Ltd.,,,,,,10.00,531818,Hydroflex Equipments Ltd.,HYDEQUI,Hydroflex Equipments Ltd,Delisted,P ,NA          , ,Equity,-,-,-,-
NUWAY,Nuway Organic Naturals (India) Ltd.,,,,,,10.00,531819,Nuway Organic Naturals (India) Ltd.,NUWAY,Nuway Organic Naturals India Ltd,Suspended,Z ,INE414L01012,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
FINCR,Finalysis Credit & Guaraantee Co.Lt,,,,,,10.00,531820,Finalysis Credit & Guaraantee Co.Lt,FINCR,Finalysis Credit & Guarantee Company Ltd,Delisted,Z ,INE977C01017, ,Equity,-,-,-,-
MUNOTHFI,Munoth Financial Services Ltd.,,,,,,10.00,531821,Munoth Financial Services Ltd.,MUNOTHFI,Munoth Financial Services Ltd,Active,X ,INE348D01019,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
RODIUM,Rodium Realty Limited,,,,,,10.00,531822,Rodium Realty Limited,RODIUM,Rodium Realty Ltd,Active,XT,INE513E01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ARVINDREM,Arvind Remedies ltd.,,,,,,10.00,531823,Arvind Remedies ltd.,ARVINDREM,Arvind Remedies Ltd,Delisted,Z ,INE211C01037, ,Equity,-,-,-,-
RCCEMEN,RCC Cements Ltd,,,,,,10.00,531825,RCC Cements Ltd,RCCEMEN,RCC Cements Ltd,Suspended,XT,INE335N01015,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
DKARTAV,Dee Kartavya Finance Ltd.,,,,,,10.00,531826,Dee Kartavya Finance Ltd.,DKARTAV,Dee Kartavya Finance Ltd,Delisted,XT,INE219N01011,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
HIMFINC,Himgiri Fincap Ltd.,,,,,,10.00,531827,Himgiri Fincap Ltd.,HIMFINC,Himgiri Fincap Ltd,Delisted,P ,NA          , ,Equity,-,-,-,-
MANDUIN,Mandu Industries Ltd.,,,,,,10.00,531828,Mandu Industries Ltd.,MANDUIN,Mandu Industries Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
SANVAN,Sanvan Software Ltd,,,,,,10.00,531829,Sanvan Software Ltd,SANVAN,Sanvan Software Ltd,Delisted,XD,INE156B01010, ,Equity,-,-,-,-
TODAYS,Todays Writing Instruments Ltd,,,,,,10.00,531830,Todays Writing Instruments Ltd,TODAYS,Todays Writing Instruments Ltd,Delisted,Z ,INE944B01019, ,Equity,-,-,-,-
UNISH,Unisys Softwares And Holdings Indus,,,,,,10.00,531831,Unisys Softwares And Holdings Indus,UNISH,Unisys Softwares & Holding Industries Ltd,Delisted,XT,INE200B01016,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
NAGTECH,Nagarjuna Agritech Ltd.,,,,,,10.00,531832,Nagarjuna Agritech Ltd.,NAGTECH,Nagarjuna Agri Tech Ltd,Active,XT,INE793H01017,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
KRIPSPG,Kripal Springs (India) Ltd.,,,,,,10.00,531833,Kripal Springs (India) Ltd.,KRIPSPG,Kripal Springs (India) Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
NATHUEC,Natura Hue Chem Ltd.,,,,,,10.00,531834,Natura Hue Chem Ltd.,NATHUEC,Natura Hue Chem Ltd,Active,X ,INE487B01019,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
EICHERLTD,Eicher Limited,,,,,,10.00,531835,Eicher Limited,EICHERLTD,Eicher Ltd,Delisted,T ,INE065A01023, ,Equity,-,-,-,-
NIRSA,Niryat-Sam Apparels (India) Ltd.,,,,,,10.00,531836,Niryat-Sam Apparels (India) Ltd.,NIRSA,Niryat Sam Apparels India Ltd,Delisted,Z ,INE645D01018, ,Equity,-,-,-,-
GLOSS,Globe Stocks & Securities Ltd.,,,,,,10.00,531837,Globe Stocks & Securities Ltd.,GLOSS,Globe Stocks & Securities Ltd,Delisted,Z ,INE060C01012, ,Equity,-,-,-,-
SMSTECH,SMS Techsoft (India) Limited,,,,,,1.00,531838,SMS Techsoft (India) Limited,SMSTECH,SMS Techsoft (India) Ltd,Delisted,Z ,INE648B01024,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
JJSPECT,J.J.Spectrum Silk Ltd.,,,,,,10.00,531839,J.J.Spectrum Silk Ltd.,JJSPECT,JJ Spectrum Silk Ltd,Delisted,B ,INE893B01018, ,Equity,-,-,-,-
IECEDU,IEC Education Limited,,,,,,10.00,531840,IEC Education Limited,IECEDU,IEC Education Ltd,Active,XT,INE172B01017,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
INDUSFINL,Indus Finance Limited,,,,,,10.00,531841,Indus Finance Limited,INDUSFINL,Indus Finance Ltd,Active,XT,INE935D01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
LAHOTIOV,Lahoti Overseas Ltd.,,,,,,2.00,531842,Lahoti Overseas Ltd.,LAHOTIOV,Lahoti Overseas Ltd-$,Active,X ,INE515C01023,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
MYMTECH,MYM Technologies Ltd.,,,,,,10.00,531843,MYM Technologies Ltd.,MYMTECH,MYM Technologies Ltd,Delisted,XT,INE378B01010,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
SU-RAJD,Winsome Diamonds and Jewellery Limited,,,,,,10.00,531844,Winsome Diamonds and Jewellery Limited,SU-RAJD,SU-RAJD,Delisted,Z ,NA          , ,Equity,-,-,-,-
TRINITYLEA,Trinity League India Limited,,,,,,10.00,531846,Trinity League India Limited,TRINITYLEA,Trinity League India Ltd,Active,X ,INE884X01011,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
ASTAR,Asian Star Co. Ltd.,,,,,,10.00,531847,Asian Star Co. Ltd.,ASTAR,Asian Star Company Ltd-$,Active,B ,INE194D01017,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
REGEAGP,Regent Agro Products Ltd.,,,,,,10.00,531848,Regent Agro Products Ltd.,REGEAGP,Regent Agro Products Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
KAMAOVR,Kamal Overseas Ltd,,,,,,10.00,531850,Kamal Overseas Ltd,KAMAOVR,Kamal Overseas Ltd,Delisted,P ,NA          , ,Equity,-,-,-,-
ROHITIS,Rohit Tissue Ltd.,,,,,,10.00,531851,Rohit Tissue Ltd.,ROHITIS,Rohit Tissue Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
APOWERTOOL,Consortex Karl Doelitzch (India) Lt,,,,,,10.00,531852,Consortex Karl Doelitzch (India) Lt,APOWERTOOL,Consortex Karl Doelitzsch India Ltd,Delisted,B ,INE870A01018, ,Equity,-,-,-,-
SHIVTEX,Shiva Sutex Ltd.,,,,,,10.00,531853,Shiva Sutex Ltd.,SHIVTEX,Shiva Sutex Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
FUNWTRD,Funworld And Tourism Devlopment Ltd,,,,,,10.00,531854,Funworld And Tourism Devlopment Ltd,FUNWTRD,Funworld & Tourism Development Ltd,Delisted,XT,INE288H01018, ,Equity,-,-,-,-
PRABHAVIN,Prabhav Industries Limited,,,,,,10.00,531855,Prabhav Industries Limited,PRABHAVIN,Prabhav Industries Ltd,Suspended,XT,INE538J01012,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ARHSUED,Arhant Suedes Ltd.,,,,,,10.00,531856,Arhant Suedes Ltd.,ARHSUED,Arhant suedes Ltd,Delisted,P ,NA          , ,Equity,-,-,-,-
ORIRAIL,ORIENTAL RAIL INFRASTRUCTURE LIMITED,,,,,,1.00,531859,ORIENTAL RAIL INFRASTRUCTURE LIMITED,ORIRAIL,Oriental Rail Infrastructure Ltd,Active,T ,INE457G01029,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
GLOES,Global e-Solutions Ltd,,,,,,10.00,531860,Global e-Solutions Ltd,GLOES,Global e-Solutions Ltd,Delisted,Z ,INE553D01014, ,Equity,-,-,-,-
JOINDRE,Joindre Capital Services Ltd.,,,,,,10.00,531861,Joindre Capital Services Ltd.,JOINDRE,Joindre Capital Services Ltd,Active,X ,INE024B01010,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
BHARATAGRI,Bharat Agri Fert and Realty Ltd,,,,,,1.00,531862,Bharat Agri Fert and Realty Ltd,BHARATAGRI,Bharat Agri Fert & Realty Ltd,Active,XT,INE842D01029,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
SIGRUN,Sigrun Holdings Limited,,,,,,1.00,531863,Sigrun Holdings Limited,SIGRUN,Sigrun Holdings Ltd,Suspended,XT,INE633D01022,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
PALDISTDM,Pal Distilleries Ltd.,,,,,,10.00,531864,Pal Distilleries Ltd.,PALDISTDM,Pals Distilleries Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
VOLTM,Volant Textile Mills Ltd.,,,,,,1.00,531865,Volant Textile Mills Ltd.,VOLTM,Volant Textile Mills Ltd,Delisted,Z ,INE962D01025, ,Equity,-,-,-,-
AAGAMCAP,Aagam Capital Limited,,,,,,10.00,531866,Aagam Capital Limited,AAGAMCAP,Aagam Capital Ltd,Suspended,XT,INE817D01013,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
UNITINT,Unitech International Ltd,,,,,,10.00,531867,Unitech International Ltd,UNITINT,Unitech International Ltd,Active,X ,INE929K01011,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
VIFAIRW,VIF Airways Ltd.,,,,,,10.00,531868,VIF Airways Ltd.,VIFAIRW,VIF Airways Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
SACHEMT,Sacheta Metals Ltd.,,,,,,2.00,531869,Sacheta Metals Ltd.,SACHEMT,Sacheta Metals Ltd,Active,X ,INE433G01020,Aluminium,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
POPULARES,Popular Estate Management Ltd,,,,,,10.00,531870,Popular Estate Management Ltd,POPULARES,Popular Estate Management Ltd,Active,X ,INE370C01015,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
GLOBSYN,Global Syntex (Bhilwara) Ltd.,,,,,,10.00,531872,Global Syntex (Bhilwara) Ltd.,GLOBSYN,Global Syntex Bhilwara Ltd,Delisted,P ,NA          , ,Equity,-,-,-,-
PEQGRTRDM,PNB Equity Growth Fund - 1993,,,,,,10.00,531873,PNB Equity Growth Fund - 1993,PEQGRTRDM,PNB Equity Growth Fund - 1993,Delisted,Z ,NA          , ,Equity,-,-,-,-
VENUSPOWR,Venus Power Ventures (India) Ltd,,,,,,10.00,531874,Venus Power Ventures (India) Ltd,VENUSPOWR,Venus Power Ventures (India) Ltd,Delisted,Z ,INE836G01016, ,Equity,-,-,-,-
IFBINDL,IFB Industries Limited,,,,,,10.00,531875,IFB Industries Limited,IFBINDL,IFBINDL,Delisted,Z ,NA          , ,Equity,-,-,-,-
GHANS,Ghanshyam Steel Works ltd.,,,,,,10.00,531876,Ghanshyam Steel Works ltd.,GHANS,Ghanshyam Steel Works Ltd,Delisted,P ,INE993C01014, ,Equity,-,-,-,-
DWARKFN,Dwarkesh Finance Ltd.,,,,,,10.00,531877,Dwarkesh Finance Ltd.,DWARKFN,Dwarkesh Finance Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
ANJANIFIN,Anjani Finance Ltd,,,,,,10.00,531878,Anjani Finance Ltd,ANJANIFIN,Anjani Finance Ltd,Active,X ,INE283D01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
PIONDIST,Pioneer Distilleries Ltd.,,,,,,10.00,531879,Pioneer Distilleries Ltd.,PIONDIST,Pioneer Distilleries Ltd,Delisted,B ,INE889E01010,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
LYOIE,Lyons Industrial Enterprises Ltd,,,,,,10.00,531880,Lyons Industrial Enterprises Ltd,LYOIE,Lyons Industrial Enterprises Ltd,Delisted,B ,INE333B01015, ,Equity,-,-,-,-
GMETCOAL,Gujarat Metallic Coal & Coke Ltd,,,,,,100.00,531881,Gujarat Metallic Coal & Coke Ltd,GMETCOAL,Gujarat Metallic Coal & Coke Ltd-$,Suspended,Z ,INE146F01020,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
KWALITY,Kwality Limited,,,,,,1.00,531882,Kwality Limited,KWALITY,Kwality Ltd,Delisted,B ,INE775B01025,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
IDBIMUT,Dividend I-NIT '95   [open ended],,,,,,10.00,531883,Dividend I-NIT '95   [open ended],IDBIMUT,IDBIMUT,Delisted,Z ,NA          , ,Equity,-,-,-,-
IDBIGRO,Growing I-NIT '95 [open ended],,,,,,10.00,531884,Growing I-NIT '95 [open ended],IDBIGRO,IDBIGRO,Delisted,Z ,NA          , ,Equity,-,-,-,-
SVAINDIA,SVA India Ltd,,,,,,10.00,531885,SVA India Ltd,SVAINDIA,SVA India Ltd,Active,P ,INE763K01014,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
SCOPEIND,Scope Industries (India) Limited,,,,,,10.00,531886,Scope Industries (India) Limited,SCOPEIND,Scope Industries (India) Ltd,Delisted,Z ,INE747C01014, ,Equity,-,-,-,-
TACENT,Tacent Projects Limited,,,,,,10.00,531887,Tacent Projects Limited,TACENT,Tacent Projects Ltd,Suspended,XT,INE149D01011,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
REXNORD,Rexnord Electronics & Controls Ltd.,,,,,,10.00,531888,Rexnord Electronics & Controls Ltd.,REXNORD,Rexnord Electronics & Controls Ltd,Active,X ,INE687C01012,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
IIL,INTEGRATED INDUSTRIES LIMITED,,,,,,1.00,531889,INTEGRATED INDUSTRIES LIMITED,IIL,Integrated Industries Ltd,Active,X ,INE882B01037,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
SNOWCEMIND,Snowcem India ltd.,,,,,,10.00,531890,Snowcem India ltd.,SNOWCEMIND,Snowcem India Ltd,Delisted,B ,INE734A01016, ,Equity,-,-,-,-
CONEQUE,Condequip Engineers (India) ltd.,,,,,,10.00,531891,Condequip Engineers (India) ltd.,CONEQUE,Condequip Engineers India Ltd,Delisted,P ,NA          , ,Equity,-,-,-,-
VATSAMUS,Vatsa Music Ltd,,,,,,10.00,531894,Vatsa Music Ltd,VATSAMUS,Vatsa Music Ltd,Delisted,B ,INE816A01011, ,Equity,-,-,-,-
GLOKNIT,Global Knitfab Ltd.,,,,,,10.00,531895,Global Knitfab Ltd.,GLOKNIT,Global Knitfab Ltd,Delisted,P ,INE010901010,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LICDHNMDM,Dhan 88(1) Units,,,,,,10.00,531896,Dhan 88(1) Units,LICDHNMDM,LIC -Dhan 88 (India),Delisted,Z ,NA          , ,Equity,-,-,-,-
ACCENTECH,Accentia Technologies Ltd.,,,,,,10.00,531897,Accentia Technologies Ltd.,ACCENTECH,Accentia Technologies Ltd-$,Delisted,Z ,INE122B01012, ,Equity,-,-,-,-
SANGUI,Sanguine Media Ltd.,,,,,,10.00,531898,Sanguine Media Ltd.,SANGUI,Sanguine Media Ltd,Suspended,XT,INE617F01038,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
TRYWLIN,Trywell International Ltd.,,,,,,10.00,531899,Trywell International Ltd.,TRYWLIN,Trywell International Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
CCLINTER,CCL International Ltd,,,,,,10.00,531900,CCL International Ltd,CCLINTER,CCL International Ltd,Active,X ,INE778E01031,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
STERWEB,Sterling Webnet Limited,,,,,,1.00,531901,Sterling Webnet Limited,STERWEB,Sterling Webnet Ltd,Delisted,XT,INE313B01025,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
GALLOPENT,Gallops Enterprise  Limited,,,,,,10.00,531902,Gallops Enterprise  Limited,GALLOPENT,Gallops Enterprise Ltd,Active,X ,INE755J01012,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
NATFLASK,National Flask Industries Ltd.,,,,,,10.00,531903,National Flask Industries Ltd.,NATFLASK,National Flask Industries Ltd,Delisted,XT,INE350B01019, ,Equity,-,-,-,-
GLOBUSCOR,Globus Corporation Ltd.,,,,,,2.00,531904,Globus Corporation Ltd.,GLOBUSCOR,Globus Corpooration Ltd-$,Delisted,Z ,INE774B01028,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
ACCUEXPO,Accurate Exports Ltd.,,,,,,10.00,531905,Accurate Exports Ltd.,ACCUEXPO,Accurate Exports Ltd,Delisted,XD,INE062B01010, ,Equity,-,-,-,-
BILATOR,Bilati (Orissa) Ltd.,,,,,,10.00,531906,Bilati (Orissa) Ltd.,BILATOR,Bilati (Orissa) Ltd,Delisted,P ,NA          , ,Equity,-,-,-,-
DIVINEENT,Divine Entertainment Limited,,,,,,10.00,531907,Divine Entertainment Limited,DIVINEENT,Divine Entertainment Ltd,Delisted,X ,INE376B01014, ,Equity,-,-,-,-
SHRUBER,Shree Rubber Industries Ltd.,,,,,,10.00,531908,Shree Rubber Industries Ltd.,SHRUBER,Shree Rubber Industries Ltd,Delisted,P ,-, ,Equity,-,-,-,-
CROISSANCE,CROISSANCE LIMITED,,,,,,1.00,531909,CROISSANCE LIMITED,CROISSANCE,Croissance Ltd,Active,XT,INE587J01027,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
MADHUVEER,Madhuveer Com 18 Network Limited,,,,,,10.00,531910,Madhuveer Com 18 Network Limited,MADHUVEER,Madhuveer Com 18 Network Ltd,Active,X ,INE312M01016,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
GALAGEX,Galaxy Agrico Exports Ltd.,,,,,,10.00,531911,Galaxy Agrico Exports Ltd.,GALAGEX,Galaxy Agrico Exports Ltd,Active,XT,INE803L01016,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
GRFLDCO,Greenfield Corp Ltd.,,,,,,10.00,531912,Greenfield Corp Ltd.,GRFLDCO,Greenfield Corp Ltd,Delisted,Y ,NA          ,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
GOPAIST,Gopal Iron & Steels Co.(Gujarat) Lt,,,,,,10.00,531913,Gopal Iron & Steels Co.(Gujarat) Lt,GOPAIST,Gopal Iron & Steels Company Gujarat Ltd,Active,X ,INE641H01018,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
REGSPIN,Regency Spin-tex Ltd.,,,,,,10.00,531914,Regency Spin-tex Ltd.,REGSPIN,Regency Spin-Tex Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
GSPLIND,GSPL (India) Ltd.,,,,,,10.00,531915,GSPL (India) Ltd.,GSPLIND,GSPL (India) Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
KUMETAL,Kumar's Mettalurgical Corporation L,,,,,,10.00,531916,Kumar's Mettalurgical Corporation L,KUMETAL,Kumars Metallurgical Corporation Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
TWINSTAR,Twinstar Industries Limited,,,,,,10.00,531917,Twinstar Industries Limited,TWINSTAR,Twinstar Industries Ltd,Suspended,Z ,INE070B01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
HINDAPL,Hindustan Appliances Ltd,,,,,,10.00,531918,Hindustan Appliances Ltd,HINDAPL,Hindustan Appliances Ltd,Active,XT,INE02XD01011,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
MUDITFN,Mudit Finlease Ltd.,,,,,,10.00,531919,Mudit Finlease Ltd.,MUDITFN,Mudit Finlease Ltd,Delisted,X ,INE220D01010, ,Equity,-,-,-,-
SURYODAL,Suryoday Allo-Metal Powders Ltd.,,,,,,10.00,531920,Suryoday Allo-Metal Powders Ltd.,SURYODAL,Suryoday Allo-Metal Powders Ltd,Delisted,X ,INE804C01013, ,Equity,-,-,-,-
VOLPLAST,Volplast Ltd.,,,,,,10.00,531922,Volplast Ltd.,VOLPLAST,Volplast Ltd,Delisted,X ,INE489C01013, ,Equity,-,-,-,-
DHAMPURE,Dhampure Speciality Sugars Ltd.,,,,,,10.00,531923,Dhampure Speciality Sugars Ltd.,DHAMPURE,Dhampure Specialty Sugars Ltd,Active,X ,INE956B01013,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
ALPSINFO,Alps Infosys Ltd,,,,,,10.00,531924,Alps Infosys Ltd,ALPSINFO,Alps Infosys Ltd,Delisted,XD,INE098B01014, ,Equity,-,-,-,-
SHAQUAK,Shantanu Sheorey Aquakult ltd.,,,,,,10.00,531925,Shantanu Sheorey Aquakult ltd.,SHAQUAK,Shantanu Sheorey Aquakult Ltd,Active,X ,INE545N01019,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
PRTINDL,Partap Industries Ltd.,,,,,,10.00,531926,Partap Industries Ltd.,PRTINDL,Partap Industries Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
NEXCEN,Nexcen Softech Ltd.,,,,,,10.00,531927,Nexcen Softech Ltd.,NEXCEN,Nexcen Softech Ltd,Delisted,X ,INE180B01010, ,Equity,-,-,-,-
GOLCA,Golden Carpets Limited.,,,,,,10.00,531928,Golden Carpets Limited.,GOLCA,Golden Carpets Ltd,Suspended,XT,INE595D01015,Furniture- Home Furnishing,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
INNOCORP,Innocorp Limited,,,,,,10.00,531929,Innocorp Limited,INNOCORP,Innocorp Ltd,Active,XT,INE214B01017,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
SARTHAKIND,Sarthak Industries Ltd.,,,,,,10.00,531930,Sarthak Industries Ltd.,SARTHAKIND,Sarthak Industries Ltd,Active,X ,INE074H01012,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
SAICAPI,Sai Capital Ltd.,,,,,,10.00,531931,Sai Capital Ltd.,SAICAPI,Sai Capital Ltd,Active,XT,INE531X01018,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
CGIMPEX,C.G.Impex Ltd.,,,,,,10.00,531932,C.G.Impex Ltd.,CGIMPEX,CG Impex Ltd,Delisted,XT,INE060F01015, ,Equity,-,-,-,-
